iter	Passed	Remaining
955	8358	384
956	8366	375
957	8374	367
958	8382	358
959	8390	349
960	8398	340
961	8406	332
962	8416	323
963	8424	314
964	8432	305
965	8441	297
966	8449	288
967	8458	279
968	8466	270
969	8475	262
970	8483	253
971	8493	244
972	8501	235
973	8509	227
974	8517	218
975	8526	209
976	8533	200
977	8542	192
978	8551	183
979	8560	174
980	8568	165
981	8576	157
982	8585	148
983	8593	139
984	8601	130
985	8609	122
986	8619	113
987	8627	104
988	8635	96
989	8643	87
990	8652	78
991	8660	69
992	8670	61
993	8678	52
994	8686	43
995	8695	34
996	8703	26
997	8712	17
998	8721	8
999	8730	0
